cumpop,L_utci_mean,L_tsd,L_hdh
0.0003887241378100031,0.0003634463389681691,0.00020857638272952922,0.0002442247875813578
0.0003911147979454746,0.00036568202409414913,0.0002098821674997733,0.0002457272169409745
0.0003926225953314836,0.0003670920782205703,0.00021070573034505247,0.00024667480418998615
0.000400260870813786,0.00037423520100517057,0.00021487777623636526,0.00025147513911471115
0.00040271648546454553,0.00037653162995731823,0.00021621903933142985,0.0002530183896556244
0.00041564496680666246,0.0003886220199752124,0.00022328060939253404,0.00026114339649178957
0.00042024574706376743,0.0003929245537549393,0.00022579356750892577,0.00026403479340465785
0.00042228712986635295,0.0003948336035192513,0.00022690857609350174,0.00026531771664887565
0.0004261796679606632,0.000398473807072503,0.00022903469050254246,0.00026776401314645987
0.00043030674777468466,0.00040233334813274697,0.00023128891220757295,0.0002703577092515922
0.00043472913420961924,0.00040646905250461477,0.00023370443115532696,0.0002731369931493035
0.0004409171838838015,0.00041225596065191895,0.00023708435994661346,0.0002770259221406361
0.00044729910040526,0.0004182241681903182,0.00024057017931300613,0.00028103668829271034
0.0004510382437049946,0.0004217209207964665,0.00024261250908715894,0.00028338658261268547
0.0004540894901625653,0.0004245743696073929,0.0002442791078208895,0.000285304162695802
0.0004652559225892283,0.00043501693587439966,0.00025037824219149727,0.00029232179588885553
0.0004729399999876024,0.00044220289145693035,0.00025457530520823373,0.00029715091539170264
0.00048066949269392155,0.000449431318291212,0.00025879717418403174,0.00030200857650572243
0.0004927926230893794,0.000460768564394618,0.0002654188594680211,0.0003096274541397051
0.0004973672629820995,0.000465046652364179,0.0002679175396495463,0.00031250242293285024
0.0005028063831147412,0.0004701331804735239,0.00027088840118161874,0.0003159206812024021
0.0005069618530696929,0.0004740192712782759,0.0002731581296553035,0.00031853221931720535
0.0005107910225032878,0.00047760021405660074,0.0002752496319374069,0.00032093869127640135
0.0005152355600613684,0.0004817566336007369,0.00027767724988611,0.0003237318962234788
0.0005174667805041725,0.00048384321474321954,0.00027889594828244067,0.00032513412444124456
0.0005255680738652054,0.0004914193401822672,0.00028332089574074166,0.0003302254466312485
0.0005332625951205238,0.0004986150625966789,0.00028752366321924496,0.00033506112965898477
0.0005450519603583915,0.0005096401799339243,0.0002939630451079702,0.00034247024992740136
0.0005513631063863313,0.0005155422046898483,0.00029741020944713917,0.0003464365398004431
0.0005548891144202612,0.0005188396385653618,0.00029933612418598006,0.000348652487568935
0.000561789320732489,0.0005252925376577707,0.00030310503478115833,0.0003529889770586295
0.0005685170960139898,0.0005315841835946455,0.00030677976309985997,0.0003572171008968332
